,article,url,date,KNPG_M,TM_KNPG,V_M,TM_V,FSD_M,TM_FSD,ASST_M,TM_ASST,JVL_M,TM_JVL
0," Diskou Minis Kondisyon Fanm ak Dwa Fanm yo nan kad selebrasyon Jounen ENtènasyonal Dwa Fanm yo, 8 Mas 2022 ",https://lenouvelliste.com/article/234842/diskou-minis-kondisyon-fanm-ak-dwa-fanm-yo-nan-kad-selebrasyon-jounen-entenasyonal-dwa-fanm-yo-8-mas-2022,2022-03-24,0,False,0,False,0,False,0,False,0,False
1, Propos de la Ministre de la Condition Féminine et aux Droits des Femmes dans le cadre de la célébration de la journée Internationale des femmes le 8 Mars 2022 ,https://lenouvelliste.com/article/234843/propos-de-la-ministre-de-la-condition-feminine-et-aux-droits-des-femmes-dans-le-cadre-de-la-celebration-de-la-journee-internationale-des-femmes-le-8-mars-2022,2022-03-24,0,False,0,False,0,False,0,False,0,False
2, Journée Internationale des Droits des Femmes Commémoration du Gouvernement haïtien ,https://lenouvelliste.com/article/234844/journee-internationale-des-droits-des-femmes-commemoration-du-gouvernement-haitien,2022-03-24,0,False,0,False,0,False,0,False,0,False
3," Lycée français, toujours pas de retour en classe pour les élèves ",https://lenouvelliste.com/article/234769/lycee-francais-toujours-pas-de-retour-en-classe-pour-les-eleves,2022-03-23,0,False,0,False,0,False,0,False,0,False
4, Football-amputés : nos champions sont de retour ,https://lenouvelliste.com/article/234830/football-amputes-nos-champions-sont-de-retour,2022-03-23,0,False,0,False,0,False,0,False,0,False
5," Le Dr Michel D’Alexis : 21 jours de séquestration, malgré le versement d’une rançon ",https://lenouvelliste.com/article/234833/le-dr-michel-dalexis-21-jours-de-sequestration-malgre-le-versement-dune-rancon,2022-03-23,2,True,0,False,0,False,0,False,0,False
6," Crise russo-ukrainienne : préoccupés, les boursiers haïtiens interpellent leur gouvernement   ",https://lenouvelliste.com/article/234757/crise-russo-ukrainienne-preoccupes-les-boursiers-haitiens-interpellent-leur-gouvernement,2022-03-23,0,False,0,False,0,False,0,False,0,False
7, Le Rotary club de Port-au-Prince célèbre ses 60 ans ,https://lenouvelliste.com/article/234791/le-rotary-club-de-port-au-prince-celebre-ses-60-ans,2022-03-23,0,False,0,False,0,False,0,False,0,False
8, Le gouvernement haïtien commémore la Journée internationale de la francophonie ,https://lenouvelliste.com/article/234799/le-gouvernement-haitien-commemore-la-journee-internationale-de-la-francophonie,2022-03-23,0,False,0,False,0,False,0,False,0,False
9," Ariel Henry boude trois invitations du Sénat, ignore la correspondance du BSA et appelle au dialogue ",https://lenouvelliste.com/article/234807/ariel-henry-boude-trois-invitations-du-senat-ignore-la-correspondance-du-bsa-et-appelle-au-dialogue,2022-03-23,0,False,0,False,0,False,0,False,0,False
10," Diskou Minis Kondisyon Fanm ak Dwa Fanm yo nan kad selebrasyon Jounen ENtènasyonal Dwa Fanm yo, 8 Mas 2022 ",https://lenouvelliste.com/article/234842/diskou-minis-kondisyon-fanm-ak-dwa-fanm-yo-nan-kad-selebrasyon-jounen-entenasyonal-dwa-fanm-yo-8-mas-2022,2022-03-24,0,False,0,False,0,False,0,False,0,False
11, Propos de la Ministre de la Condition Féminine et aux Droits des Femmes dans le cadre de la célébration de la journée Internationale des femmes le 8 Mars 2022 ,https://lenouvelliste.com/article/234843/propos-de-la-ministre-de-la-condition-feminine-et-aux-droits-des-femmes-dans-le-cadre-de-la-celebration-de-la-journee-internationale-des-femmes-le-8-mars-2022,2022-03-24,0,False,0,False,0,False,0,False,0,False
12, Journée Internationale des Droits des Femmes Commémoration du Gouvernement haïtien ,https://lenouvelliste.com/article/234844/journee-internationale-des-droits-des-femmes-commemoration-du-gouvernement-haitien,2022-03-24,0,False,0,False,0,False,0,False,0,False
13," Lycée français, toujours pas de retour en classe pour les élèves ",https://lenouvelliste.com/article/234769/lycee-francais-toujours-pas-de-retour-en-classe-pour-les-eleves,2022-03-23,0,False,0,False,0,False,0,False,0,False
14, Football-amputés : nos champions sont de retour ,https://lenouvelliste.com/article/234830/football-amputes-nos-champions-sont-de-retour,2022-03-23,0,False,0,False,0,False,0,False,0,False
15," Le Dr Michel D’Alexis : 21 jours de séquestration, malgré le versement d’une rançon ",https://lenouvelliste.com/article/234833/le-dr-michel-dalexis-21-jours-de-sequestration-malgre-le-versement-dune-rancon,2022-03-23,2,True,0,False,0,False,0,False,0,False
16," Crise russo-ukrainienne : préoccupés, les boursiers haïtiens interpellent leur gouvernement   ",https://lenouvelliste.com/article/234757/crise-russo-ukrainienne-preoccupes-les-boursiers-haitiens-interpellent-leur-gouvernement,2022-03-23,0,False,0,False,0,False,0,False,0,False
17, Le Rotary club de Port-au-Prince célèbre ses 60 ans ,https://lenouvelliste.com/article/234791/le-rotary-club-de-port-au-prince-celebre-ses-60-ans,2022-03-23,0,False,0,False,0,False,0,False,0,False
18, Le gouvernement haïtien commémore la Journée internationale de la francophonie ,https://lenouvelliste.com/article/234799/le-gouvernement-haitien-commemore-la-journee-internationale-de-la-francophonie,2022-03-23,0,False,0,False,0,False,0,False,0,False
19," Ariel Henry boude trois invitations du Sénat, ignore la correspondance du BSA et appelle au dialogue ",https://lenouvelliste.com/article/234807/ariel-henry-boude-trois-invitations-du-senat-ignore-la-correspondance-du-bsa-et-appelle-au-dialogue,2022-03-23,0,False,0,False,0,False,0,False,0,False
